'-?' 'a&'  inputs/temp-test/1.inp.1.1 outputs/t1
'%[0-9H]\$' 'l*>nm)BOulbBc1&N6A'  inputs/input/ruin.549 outputs/t374
'%[0-9]' 'l'  inputs/input/ruin.1572 outputs/t375
'%[0-9]**' 'a'  inputs/moni/f7.inp outputs/t376
'%[1]*@@' '@YLmg{>yPr b&3<TkY4-a|k+L63(J^\$~xY:n\b6%fo3[-n, =}@e'  inputs/input/ruin.626 outputs/t382
'%[^9-B]?-[^9-B]-*-[^9-B][^0-9]-*-[^0-9]\$' '@%&a'  inputs/temp-test/1083.inp.466.10 outputs/t424
'%[^9-B][9-B]-*?[^@@]-a-]-' '@%&a'  inputs/temp-test/2143.inp.907.5 outputs/t426
'%[^>-A]' 'rw`h-v1P5_?OU7NRz`:a9HNb]H="9cjwym["lqG<!&sYJc^dbfdN7N2ms3E ZS&g'  inputs/input/ruin.666 outputs/t429
'%[a-]-*[a-c][^a--]-\$' '@t'  inputs/temp-test/1091.inp.470.10 outputs/t454
'%[a-b]?**' 'a'  inputs/moni/f7.inp outputs/t455
'%a[ ]*' '&@t'  inputs/moni/f8.inp outputs/t491
'%dB' 'P'  inputs/input/ruin.517 outputs/t495
'%e@n[^>-A/]\$' '98&)4@z=|'\''-xLsL|#?_(vf/fhZ'  inputs/input/ruin.201 outputs/t496
'[^a-c]@** *? [0-9]-?@**-' 'b@t'  inputs/temp-test/396.inp.173.1 outputs/t510
'[^c-a]' '!'  inputs/input/ruin.469 outputs/t565
'[^c-a]' ''\''n52Glpp'  inputs/input/ruin.1535 outputs/t566
'[^ec-a]' 'T}UP?R=Z[T|IG=mM'  inputs/input/ruin.166 outputs/t578
'[^z-}>-A0-9A-G>-A0-9]' 'X'  inputs/input/ruin.1054 outputs/t590
'[^z-}]*?' ' '  inputs/input/ruin.1192 outputs/t608
'[_-z]-^ [^0-9][^a-][a-c]-[^9-B]-?[^9-B]?@**[a-c@t*?' 'a@nb@tc'  inputs/temp-test/1757.inp.747.1 outputs/t620
'[a-@[*' 'NEW'  inputs/temp-test/860.inp.370.1 outputs/t676
'[a-]**' 'a'  inputs/moni/f7.inp outputs/t698
'[a-c][^0-9]*[a-c]' '&@n'  inputs/temp-test/690.inp.300.1 outputs/t802
'[a-c][^0-9]-*-[a-c]-\$' '@n'  inputs/temp-test/694.inp.300.9 outputs/t806
'[a-z]\$' 6666666  inputs/moni/f6.inp outputs/t824
'\Y!%aK@@' 'G'  inputs/input/ruin.142 outputs/t902
'\u=vvW~U' '2'  inputs/input/ruin.949 outputs/t908
'c[]*[^a-' 'a@nb@tc'  inputs/temp-test/515.inp.224.3 outputs/t1159
'i' '62k|h=&-kA{I^m)l>oO{G2k|h=&-kA{I^m)l>oO{G2k|h=&-kA{I^m)l>oO{G2k|h=&-kA{I^m)l>oO{G2k|h=&-kA{I^m)l>oO{G2k|h=&-kA{I^m)l>oO{G'  inputs/input/ruin.1031 outputs/t1193
'--[^9-B][0-9]--[0-9]*-' '@%@&'  inputs/temp-test/17.inp.8.1 outputs/t1841
'-?-@**[^0-9]-@@*[^9-B]?@n*\$' '@%@&'  inputs/temp-test/2078.inp.880.6 outputs/t1898
'-?-@**[^0-9]-@@*[^9-B]?@n*' '@%@&'  inputs/temp-test/2076.inp.880.1 outputs/t1899
'-?-@n *?' '@%@&'  inputs/temp-test/617.inp.266.1 outputs/t1901
'-[^0-9][0-9]A@@*[^0-9][9-B]@@[^a-c]--[0-9][9-B][^a-]' 'NEW'  inputs/temp-test/1584.inp.675.1 outputs/t2112
'&a@%'  inputs/temp-test/2010.inp.853.1 outputs/t2283
'?' ')'  inputs/input/ruin.1751 outputs/t2423
'?*\$' '#((G)KKH'  inputs/input/ruin.1245 outputs/t2646
'?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*?@t*' 'b@t'  inputs/temp-test/1003.inp.432.1 outputs/t2836
'?[0-9]--*[9-B][a-c[^9-B]' '@%@&'  inputs/temp-test/1812.inp.770.1 outputs/t2870
'?[^p&y=3[p&y=3[ZYIp&y=3[ZYIp&y=3[ZYIp&y=3[ZYIp&y=3[ZYIp&y=3[ZYIp&y=3[ZYIZYIgTBk0-9]' 'J'  inputs/input/ruin.1332 outputs/t3028
'?\ Ynh[' 'q'  inputs/input/ruin.380 outputs/t3068
'@n*' 'B(=9uHKrS'  inputs/input/ruin.106 outputs/t4051
'@n*[^0-9]?--[^a--@*' '@t'  inputs/temp-test/1062.inp.457.1 outputs/t4059
'D*@@*' '~'  inputs/input/ruin.1524 outputs/t4188
'H8WstZ' 'B'  inputs/input/ruin.808 outputs/t4201
'[0-9]?^[^0-9]?-[^0-9]c[^a--]-[0-9][^9-B]@n[^0-9][9-B]?' '@n'  inputs/temp-test/1629.inp.693.1 outputs/t4374
'[9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B][9-B]' 'b@t'  inputs/temp-test/949.inp.409.1 outputs/t4518
'[Y-a]^_' '&aaaaaaaaaaaaaaaaaaa&'  inputs/input/ruin.506 outputs/t4637
'[^@@]%-' 'a&'  inputs/temp-test/2350.inp.998.1 outputs/t5116
'[^]' '@n67@n67@n'  inputs/moni/f8.inp outputs/t5200
'123!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!' '&[lkjasdlkjdf]&'   inputs/moni/rr3.t outputs/t5423
'8888888888888?8888888888888\$' '&@t&@t&'   inputs/moni/rr6.t outputs/t5483
'[1@&@@@@#@%%^*@@n]*' '&@t&          &'  inputs/moni/rr17.t outputs/t5525
'????????????????????????????????????????????????????????????????[iiiiiiiii@x@z]' 'abc' inputs/dela01
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[----]' 'NEW' inputs/dela02
'[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-----------------------------------------' 'NEW' inputs/dela02 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx@n' 'NEW' inputs/dela01 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@n]' 'NEW' inputs/dela01 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@t]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[tt]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[w-x]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@aw-x]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@t]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@t]' 'N' inputs/dela03 
'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx[@t]' 'N' inputs/dela03 
'[y-x]' 'N' inputs/dela02 
'[x-x]' 'N' inputs/dela02 
